"","상품군별","운영형태별","년월","매출액","년도","월"
"368","가전·전자·통신기기","Online몰","2017_6","584944","2017","6"
"369","가전·전자·통신기기","On/Offline몰","2017_6","167530","2017","6"
"370","서적","계","2017_6","116272","2017","6"
"371","서적","Online몰","2017_6","35106","2017","6"
"372","서적","On/Offline몰","2017_6","81166","2017","6"
"373","사무·문구","계","2017_6","55970","2017","6"
"374","사무·문구","Online몰","2017_6","42211","2017","6"
"375","사무·문구","On/Offline몰","2017_6","13759","2017","6"
"376","의복","계","2017_6","909742","2017","6"
"377","의복","Online몰","2017_6","684739","2017","6"
"378","의복","On/Offline몰","2017_6","225003","2017","6"
"379","신발","계","2017_6","156160","2017","6"
"380","신발","Online몰","2017_6","113217","2017","6"
"381","신발","On/Offline몰","2017_6","42943","2017","6"
"382","가방","계","2017_6","149442","2017","6"
"383","가방","Online몰","2017_6","104729","2017","6"
"384","가방","On/Offline몰","2017_6","44713","2017","6"
"385","패션용품 및 액세서리","계","2017_6","162825","2017","6"
"386","패션용품 및 액세서리","Online몰","2017_6","98506","2017","6"
"387","패션용품 및 액세서리","On/Offline몰","2017_6","64319","2017","6"
"388","스포츠·레저용품","계","2017_6","289069","2017","6"
"389","스포츠·레저용품","Online몰","2017_6","237976","2017","6"
"390","스포츠·레저용품","On/Offline몰","2017_6","51093","2017","6"
"391","화장품","계","2017_6","652533","2017","6"
"392","화장품","Online몰","2017_6","259977","2017","6"
"393","화장품","On/Offline몰","2017_6","392556","2017","6"
"394","아동·유아용품","계","2017_6","259069","2017","6"
"395","아동·유아용품","Online몰","2017_6","221990","2017","6"
"396","아동·유아용품","On/Offline몰","2017_6","37079","2017","6"
"397","음·식료품","계","2017_6","641593","2017","6"
"398","음·식료품","Online몰","2017_6","404096","2017","6"
"399","음·식료품","On/Offline몰","2017_6","237497","2017","6"
"400","농축수산물","계","2017_6","180848","2017","6"
"401","농축수산물","Online몰","2017_6","100678","2017","6"
"402","농축수산물","On/Offline몰","2017_6","80170","2017","6"
"403","생활용품","계","2017_6","597243","2017","6"
"404","생활용품","Online몰","2017_6","454135","2017","6"
"405","생활용품","On/Offline몰","2017_6","143108","2017","6"
"406","자동차 및 자동차용품","계","2017_6","88191","2017","6"
"407","자동차 및 자동차용품","Online몰","2017_6","77583","2017","6"
"408","자동차 및 자동차용품","On/Offline몰","2017_6","10608","2017","6"
"409","가구","계","2017_6","203584","2017","6"
"410","가구","Online몰","2017_6","137628","2017","6"
"411","가구","On/Offline몰","2017_6","65956","2017","6"
"412","애완용품","계","2017_6","56092","2017","6"
"413","애완용품","Online몰","2017_6","52171","2017","6"
"414","애완용품","On/Offline몰","2017_6","3921","2017","6"
"415","여행 및 교통서비스","계","2017_6","1210908","2017","6"
"416","여행 및 교통서비스","Online몰","2017_6","605075","2017","6"
"417","여행 및 교통서비스","On/Offline몰","2017_6","605833","2017","6"
"418","문화 및 레저서비스","계","2017_6","144311","2017","6"
"419","문화 및 레저서비스","Online몰","2017_6","97899","2017","6"
"420","문화 및 레저서비스","On/Offline몰","2017_6","46413","2017","6"
"421","e쿠폰서비스","계","2017_6","95019","2017","6"
"422","e쿠폰서비스","Online몰","2017_6","89494","2017","6"
"423","e쿠폰서비스","On/Offline몰","2017_6","5525","2017","6"
"424","음식서비스","계","2017_6","195630","2017","6"
"425","음식서비스","Online몰","2017_6","171939","2017","6"
"426","음식서비스","On/Offline몰","2017_6","23692","2017","6"
"427","기타서비스","계","2017_6","41104","2017","6"
"428","기타서비스","Online몰","2017_6","29875","2017","6"
"429","기타서비스","On/Offline몰","2017_6","11229","2017","6"
"430","기타","계","2017_6","180332","2017","6"
"431","기타","Online몰","2017_6","162394","2017","6"
"432","기타","On/Offline몰","2017_6","17937","2017","6"
"433","합계","계","2017_7","7898554","2017","7"
"434","합계","Online몰","2017_7","5326514","2017","7"
"435","합계","On/Offline몰","2017_7","2572040","2017","7"
"436","컴퓨터 및 주변기기","계","2017_7","380974","2017","7"
"437","컴퓨터 및 주변기기","Online몰","2017_7","312458","2017","7"
"438","컴퓨터 및 주변기기","On/Offline몰","2017_7","68516","2017","7"
"439","가전·전자·통신기기","계","2017_7","926867","2017","7"
"440","가전·전자·통신기기","Online몰","2017_7","729535","2017","7"
"441","가전·전자·통신기기","On/Offline몰","2017_7","197332","2017","7"
"442","서적","계","2017_7","143084","2017","7"
"443","서적","Online몰","2017_7","44330","2017","7"
"444","서적","On/Offline몰","2017_7","98754","2017","7"
"445","사무·문구","계","2017_7","53826","2017","7"
"446","사무·문구","Online몰","2017_7","39698","2017","7"
"447","사무·문구","On/Offline몰","2017_7","14128","2017","7"
"448","의복","계","2017_7","887371","2017","7"
"449","의복","Online몰","2017_7","661511","2017","7"
"450","의복","On/Offline몰","2017_7","225860","2017","7"
"451","신발","계","2017_7","140746","2017","7"
"452","신발","Online몰","2017_7","101604","2017","7"
"453","신발","On/Offline몰","2017_7","39142","2017","7"
"454","가방","계","2017_7","151719","2017","7"
"455","가방","Online몰","2017_7","106690","2017","7"
"456","가방","On/Offline몰","2017_7","45029","2017","7"
"457","패션용품 및 액세서리","계","2017_7","170035","2017","7"
"458","패션용품 및 액세서리","Online몰","2017_7","98604","2017","7"
"459","패션용품 및 액세서리","On/Offline몰","2017_7","71431","2017","7"
"460","스포츠·레저용품","계","2017_7","292683","2017","7"
"461","스포츠·레저용품","Online몰","2017_7","243155","2017","7"
"462","스포츠·레저용품","On/Offline몰","2017_7","49528","2017","7"
"463","화장품","계","2017_7","619456","2017","7"
"464","화장품","Online몰","2017_7","245888","2017","7"
"465","화장품","On/Offline몰","2017_7","373568","2017","7"
"466","아동·유아용품","계","2017_7","264579","2017","7"
"467","아동·유아용품","Online몰","2017_7","228770","2017","7"
"468","아동·유아용품","On/Offline몰","2017_7","35809","2017","7"
"469","음·식료품","계","2017_7","638176","2017","7"
"470","음·식료품","Online몰","2017_7","403010","2017","7"
"471","음·식료품","On/Offline몰","2017_7","235166","2017","7"
"472","농축수산물","계","2017_7","182683","2017","7"
"473","농축수산물","Online몰","2017_7","100627","2017","7"
"474","농축수산물","On/Offline몰","2017_7","82056","2017","7"
"475","생활용품","계","2017_7","613589","2017","7"
"476","생활용품","Online몰","2017_7","470412","2017","7"
"477","생활용품","On/Offline몰","2017_7","143177","2017","7"
"478","자동차 및 자동차용품","계","2017_7","94244","2017","7"
"479","자동차 및 자동차용품","Online몰","2017_7","80043","2017","7"
"480","자동차 및 자동차용품","On/Offline몰","2017_7","14201","2017","7"
"481","가구","계","2017_7","211657","2017","7"
