"","상품군별","범위별","년월","매출액","년도","월"
"360","기타","전문몰","2020_8","47916","2020","8"
"361","합계","계","2020_7","12978697","2020","7"
"362","합계","종합몰","2020_7","8809345","2020","7"
"363","합계","전문몰","2020_7","4169352","2020","7"
"364","컴퓨터 및 주변기기","계","2020_7","608124","2020","7"
"365","컴퓨터 및 주변기기","종합몰","2020_7","370875","2020","7"
"366","컴퓨터 및 주변기기","전문몰","2020_7","237249","2020","7"
"367","가전·전자·통신기기","계","2020_7","1439150","2020","7"
"368","가전·전자·통신기기","종합몰","2020_7","1222250","2020","7"
"369","가전·전자·통신기기","전문몰","2020_7","216900","2020","7"
"370","서적","계","2020_7","187840","2020","7"
"371","서적","종합몰","2020_7","66079","2020","7"
"372","서적","전문몰","2020_7","121761","2020","7"
"373","사무·문구","계","2020_7","87116","2020","7"
"374","사무·문구","종합몰","2020_7","62504","2020","7"
"375","사무·문구","전문몰","2020_7","24612","2020","7"
"376","의복","계","2020_7","1122641","2020","7"
"377","의복","종합몰","2020_7","579262","2020","7"
"378","의복","전문몰","2020_7","543379","2020","7"
"379","신발","계","2020_7","220237","2020","7"
"380","신발","종합몰","2020_7","132870","2020","7"
"381","신발","전문몰","2020_7","87367","2020","7"
"382","가방","계","2020_7","232941","2020","7"
"383","가방","종합몰","2020_7","203697","2020","7"
"384","가방","전문몰","2020_7","29244","2020","7"
"385","패션용품 및 액세서리","계","2020_7","206828","2020","7"
"386","패션용품 및 액세서리","종합몰","2020_7","152765","2020","7"
"387","패션용품 및 액세서리","전문몰","2020_7","54063","2020","7"
"388","스포츠·레저용품","계","2020_7","505285","2020","7"
"389","스포츠·레저용품","종합몰","2020_7","428303","2020","7"
"390","스포츠·레저용품","전문몰","2020_7","76982","2020","7"
"391","화장품","계","2020_7","1004618","2020","7"
"392","화장품","종합몰","2020_7","929804","2020","7"
"393","화장품","전문몰","2020_7","74814","2020","7"
"394","아동·유아용품","계","2020_7","386085","2020","7"
"395","아동·유아용품","종합몰","2020_7","340316","2020","7"
"396","아동·유아용품","전문몰","2020_7","45769","2020","7"
"397","음·식료품","계","2020_7","1609263","2020","7"
"398","음·식료품","종합몰","2020_7","1324014","2020","7"
"399","음·식료품","전문몰","2020_7","285249","2020","7"
"400","농축수산물","계","2020_7","454205","2020","7"
"401","농축수산물","종합몰","2020_7","390681","2020","7"
"402","농축수산물","전문몰","2020_7","63524","2020","7"
"403","생활용품","계","2020_7","1219966","2020","7"
"404","생활용품","종합몰","2020_7","1087776","2020","7"
"405","생활용품","전문몰","2020_7","132190","2020","7"
"406","자동차 및 자동차용품","계","2020_7","156969","2020","7"
"407","자동차 및 자동차용품","종합몰","2020_7","146875","2020","7"
"408","자동차 및 자동차용품","전문몰","2020_7","10094","2020","7"
"409","가구","계","2020_7","385936","2020","7"
"410","가구","종합몰","2020_7","338335","2020","7"
"411","가구","전문몰","2020_7","47601","2020","7"
"412","애완용품","계","2020_7","95962","2020","7"
"413","애완용품","종합몰","2020_7","84962","2020","7"
"414","애완용품","전문몰","2020_7","11000","2020","7"
"415","여행 및 교통서비스","계","2020_7","790830","2020","7"
"416","여행 및 교통서비스","종합몰","2020_7","116723","2020","7"
"417","여행 및 교통서비스","전문몰","2020_7","674107","2020","7"
"418","문화 및 레저서비스","계","2020_7","75077","2020","7"
"419","문화 및 레저서비스","종합몰","2020_7","49662","2020","7"
"420","문화 및 레저서비스","전문몰","2020_7","25415","2020","7"
"421","e쿠폰서비스","계","2020_7","332097","2020","7"
"422","e쿠폰서비스","종합몰","2020_7","321726","2020","7"
"423","e쿠폰서비스","전문몰","2020_7","10371","2020","7"
"424","음식서비스","계","2020_7","1377725","2020","7"
"425","음식서비스","종합몰","2020_7","56413","2020","7"
"426","음식서비스","전문몰","2020_7","1321312","2020","7"
"427","기타서비스","계","2020_7","99592","2020","7"
"428","기타서비스","종합몰","2020_7","75477","2020","7"
"429","기타서비스","전문몰","2020_7","24115","2020","7"
"430","기타","계","2020_7","380207","2020","7"
"431","기타","종합몰","2020_7","327976","2020","7"
"432","기타","전문몰","2020_7","52231","2020","7"
"433","합계","계","2020_6","12687000","2020","6"
"434","합계","종합몰","2020_6","8608956","2020","6"
"435","합계","전문몰","2020_6","4078044","2020","6"
"436","컴퓨터 및 주변기기","계","2020_6","535105","2020","6"
"437","컴퓨터 및 주변기기","종합몰","2020_6","330571","2020","6"
"438","컴퓨터 및 주변기기","전문몰","2020_6","204534","2020","6"
"439","가전·전자·통신기기","계","2020_6","1566781","2020","6"
"440","가전·전자·통신기기","종합몰","2020_6","1345372","2020","6"
"441","가전·전자·통신기기","전문몰","2020_6","221409","2020","6"
"442","서적","계","2020_6","171513","2020","6"
"443","서적","종합몰","2020_6","58877","2020","6"
"444","서적","전문몰","2020_6","112636","2020","6"
"445","사무·문구","계","2020_6","83761","2020","6"
"446","사무·문구","종합몰","2020_6","60804","2020","6"
"447","사무·문구","전문몰","2020_6","22957","2020","6"
"448","의복","계","2020_6","1349828","2020","6"
"449","의복","종합몰","2020_6","689137","2020","6"
"450","의복","전문몰","2020_6","660691","2020","6"
"451","신발","계","2020_6","251192","2020","6"
"452","신발","종합몰","2020_6","153796","2020","6"
"453","신발","전문몰","2020_6","97396","2020","6"
"454","가방","계","2020_6","234031","2020","6"
"455","가방","종합몰","2020_6","200037","2020","6"
"456","가방","전문몰","2020_6","33994","2020","6"
"457","패션용품 및 액세서리","계","2020_6","191421","2020","6"
"458","패션용품 및 액세서리","종합몰","2020_6","141023","2020","6"
"459","패션용품 및 액세서리","전문몰","2020_6","50398","2020","6"
"460","스포츠·레저용품","계","2020_6","487195","2020","6"
"461","스포츠·레저용품","종합몰","2020_6","411174","2020","6"
"462","스포츠·레저용품","전문몰","2020_6","76021","2020","6"
"463","화장품","계","2020_6","984010","2020","6"
"464","화장품","종합몰","2020_6","886614","2020","6"
"465","화장품","전문몰","2020_6","97396","2020","6"
"466","아동·유아용품","계","2020_6","379138","2020","6"
"467","아동·유아용품","종합몰","2020_6","334025","2020","6"
"468","아동·유아용품","전문몰","2020_6","45113","2020","6"
"469","음·식료품","계","2020_6","1459395","2020","6"
"470","음·식료품","종합몰","2020_6","1209840","2020","6"
"471","음·식료품","전문몰","2020_6","249555","2020","6"
"472","농축수산물","계","2020_6","409076","2020","6"
"473","농축수산물","종합몰","2020_6","348062","2020","6"
"474","농축수산물","전문몰","2020_6","61014","2020","6"
"475","생활용품","계","2020_6","1174166","2020","6"
"476","생활용품","종합몰","2020_6","1038153","2020","6"
"477","생활용품","전문몰","2020_6","136013","2020","6"
"478","자동차 및 자동차용품","계","2020_6","259708","2020","6"
"479","자동차 및 자동차용품","종합몰","2020_6","137208","2020","6"
"480","자동차 및 자동차용품","전문몰","2020_6","122500","2020","6"
"481","가구","계","2020_6","400227","2020","6"
"482","가구","종합몰","2020_6","351485","2020","6"
"483","가구","전문몰","2020_6","48742","2020","6"
"484","애완용품","계","2020_6","87956","2020","6"
"485","애완용품","종합몰","2020_6","76982","2020","6"
"486","애완용품","전문몰","2020_6","10974","2020","6"
"487","여행 및 교통서비스","계","2020_6","598033","2020","6"
"488","여행 및 교통서비스","종합몰","2020_6","82633","2020","6"
"489","여행 및 교통서비스","전문몰","2020_6","515400","2020","6"
"490","문화 및 레저서비스","계","2020_6","43239","2020","6"
"491","문화 및 레저서비스","종합몰","2020_6","25839","2020","6"
"492","문화 및 레저서비스","전문몰","2020_6","17400","2020","6"
"493","e쿠폰서비스","계","2020_6","309219","2020","6"
"494","e쿠폰서비스","종합몰","2020_6","304018","2020","6"
"495","e쿠폰서비스","전문몰","2020_6","5201","2020","6"
