"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준","기기별_검색추이","성별","선호_성별_검색추이","선호연령대","선호연령대_성별","선호연령대_검색추이"
"55","2017","2","1Q","인터넷","생활_건강","서적",106649,103851,"증가","winter",0,97.9,1.8,94.5,1.2,7.1977,"m",55.55708,"30","남자",56.48876
"56","2017","2","1Q","인터넷","생활_건강","애완용품",24296,22849,"증가","winter",0,97.9,1.8,94.5,1.2,7.1977,"m",55.55708,"30","남자",56.48876
"57","2017","2","1Q","모바일","스포츠_레져","스포츠·레저용품",100947,96891,"증가","winter",0,97.9,1.8,94.5,1.2,32.836535,"m",31.44294,"30","남자",36.69625
"58","2017","2","1Q","인터넷","스포츠_레져","스포츠·레저용품",106163,104489,"증가","winter",0,97.9,1.8,94.5,1.2,3.51149,"m",30.40689,"30","남자",34.31152
"59","2017","2","1Q","모바일","식품","농축수산물",100582,142230,"감소","winter",0,97.9,1.8,94.5,1.2,34.1913,"f",35.14947,"30","여자",47.11739
"60","2017","2","1Q","모바일","식품","음·식료품",349797,394322,"감소","winter",0,97.9,1.8,94.5,1.2,34.1913,"f",35.14947,"30","여자",47.11739
"61","2017","2","1Q","인터넷","식품","농축수산물",66964,116799,"감소","winter",0,97.9,1.8,94.5,1.2,5.738575,"m",39.61826,"30","남자",45.199
"62","2017","2","1Q","인터넷","식품","음·식료품",223285,281528,"감소","winter",0,97.9,1.8,94.5,1.2,5.738575,"m",39.61826,"30","남자",45.199
"63","2017","2","1Q","모바일","여가_생활편의","e쿠폰서비스",69089,74432,"감소","winter",0,97.9,1.8,94.5,1.2,NA,NA,NA,NA,NA,NA
"64","2017","2","1Q","모바일","여가_생활편의","문화 및 레저서비스",50991,70012,"감소","winter",0,97.9,1.8,94.5,1.2,NA,NA,NA,NA,NA,NA
"65","2017","2","1Q","모바일","여가_생활편의","여행 및 교통서비스",557968,611775,"감소","winter",0,97.9,1.8,94.5,1.2,NA,NA,NA,NA,NA,NA
"66","2017","2","1Q","인터넷","여가_생활편의","e쿠폰서비스",11707,14216,"감소","winter",0,97.9,1.8,94.5,1.2,NA,NA,NA,NA,NA,NA
"67","2017","2","1Q","인터넷","여가_생활편의","문화 및 레저서비스",72901,94242,"감소","winter",0,97.9,1.8,94.5,1.2,NA,NA,NA,NA,NA,NA
"68","2017","2","1Q","인터넷","여가_생활편의","여행 및 교통서비스",552472,603688,"감소","winter",0,97.9,1.8,94.5,1.2,NA,NA,NA,NA,NA,NA
"69","2017","2","1Q","모바일","출산_육아","아동·유아용품",180770,183143,"감소","winter",0,97.9,1.8,94.5,1.2,47.454195,"f",46.82037,"30","여자",58.03388
"70","2017","2","1Q","인터넷","출산_육아","아동·유아용품",81434,76647,"증가","winter",0,97.9,1.8,94.5,1.2,4.253475,"f",50.4919,"30","여자",63.91817
"71","2017","2","1Q","모바일","패션잡화","가방",110077,99665,"증가","winter",0,97.9,1.8,94.5,1.2,65.79742,"f",67.22985,"30","여자",69.50145
"72","2017","2","1Q","모바일","패션잡화","신발",73655,61269,"증가","winter",0,97.9,1.8,94.5,1.2,65.79742,"f",67.22985,"30","여자",69.50145
"73","2017","2","1Q","모바일","패션잡화","의복",445567,467093,"감소","winter",0,97.9,1.8,94.5,1.2,65.79742,"f",67.22985,"30","여자",69.50145
"74","2017","2","1Q","모바일","패션잡화","패션용품 및 액세서리",87970,86770,"증가","winter",0,97.9,1.8,94.5,1.2,65.79742,"f",67.22985,"30","여자",69.50145
"75","2017","2","1Q","인터넷","패션잡화","가방",53127,43978,"증가","winter",0,97.9,1.8,94.5,1.2,6.500685,"m",63.8909,"30","남자",66.68573
"76","2017","2","1Q","인터넷","패션잡화","신발",44976,42529,"증가","winter",0,97.9,1.8,94.5,1.2,6.500685,"m",63.8909,"30","남자",66.68573
"77","2017","2","1Q","인터넷","패션잡화","의복",382105,397422,"감소","winter",0,97.9,1.8,94.5,1.2,6.500685,"m",63.8909,"30","남자",66.68573
"78","2017","2","1Q","인터넷","패션잡화","패션용품 및 액세서리",58915,56669,"증가","winter",0,97.9,1.8,94.5,1.2,6.500685,"m",63.8909,"30","남자",66.68573
"79","2017","2","1Q","모바일","화장품_미용","화장품",428550,380746,"증가","winter",0,97.9,1.8,94.5,1.2,56.201145,"f",59.93839,"30","여자",62.87298
"80","2017","2","1Q","인터넷","화장품_미용","화장품",300678,273399,"증가","winter",0,97.9,1.8,94.5,1.2,8.320455,"f",75.38106,"30","여자",68.2549
