"","period","ratio","group","카테고리명","검색기기","년도","월"
"343","2017-04-01",59.11705,"f","패션잡화","pc","2017","4"
"344","2017-04-01",69.39836,"m","패션잡화","pc","2017","4"
"345","2017-05-01",57.45162,"f","패션잡화","pc","2017","5"
"346","2017-05-01",65.61029,"m","패션잡화","pc","2017","5"
"347","2017-06-01",60.95598,"f","패션잡화","pc","2017","6"
"348","2017-06-01",66.48124,"m","패션잡화","pc","2017","6"
"349","2017-07-01",58.22939,"f","패션잡화","pc","2017","7"
"350","2017-07-01",72.49801,"m","패션잡화","pc","2017","7"
"351","2017-08-01",60.71892,"f","패션잡화","pc","2017","8"
"352","2017-08-01",77.43309,"m","패션잡화","pc","2017","8"
"353","2017-09-01",50.56593,"f","패션잡화","pc","2017","9"
"354","2017-09-01",65.25739,"m","패션잡화","pc","2017","9"
"355","2017-10-01",67.8928,"f","패션잡화","pc","2017","10"
"356","2017-10-01",77.66174,"m","패션잡화","pc","2017","10"
"357","2017-11-01",63.00589,"f","패션잡화","pc","2017","11"
"358","2017-11-01",71.03853,"m","패션잡화","pc","2017","11"
"359","2017-12-01",64.99213,"f","패션잡화","pc","2017","12"
"360","2017-12-01",73.68848,"m","패션잡화","pc","2017","12"
"361","2017-01-01",87.01374,"f","화장품_미용","pc","2017","1"
"362","2017-01-01",54.73028,"m","화장품_미용","pc","2017","1"
"363","2017-02-01",75.38106,"f","화장품_미용","pc","2017","2"
"364","2017-02-01",47.81661,"m","화장품_미용","pc","2017","2"
"365","2017-03-01",77.24243,"f","화장품_미용","pc","2017","3"
"366","2017-03-01",52.25777,"m","화장품_미용","pc","2017","3"
"367","2017-04-01",79.15586,"f","화장품_미용","pc","2017","4"
"368","2017-04-01",51.96734,"m","화장품_미용","pc","2017","4"
"369","2017-05-01",73.65539,"f","화장품_미용","pc","2017","5"
"370","2017-05-01",48.23366,"m","화장품_미용","pc","2017","5"
"371","2017-06-01",61.67032,"f","화장품_미용","pc","2017","6"
"372","2017-06-01",40.93031,"m","화장품_미용","pc","2017","6"
"373","2017-07-01",56.73506,"f","화장품_미용","pc","2017","7"
"374","2017-07-01",42.3965,"m","화장품_미용","pc","2017","7"
"375","2017-08-01",74.73782,"f","화장품_미용","pc","2017","8"
"376","2017-08-01",51.8083,"m","화장품_미용","pc","2017","8"
"377","2017-09-01",62.88924,"f","화장품_미용","pc","2017","9"
"378","2017-09-01",45.29276,"m","화장품_미용","pc","2017","9"
"379","2017-10-01",88.19266,"f","화장품_미용","pc","2017","10"
"380","2017-10-01",62.56847,"m","화장품_미용","pc","2017","10"
"381","2017-11-01",82.52691,"f","화장품_미용","pc","2017","11"
"382","2017-11-01",51.99166,"m","화장품_미용","pc","2017","11"
"383","2017-12-01",75.46515,"f","화장품_미용","pc","2017","12"
"384","2017-12-01",54.05772,"m","화장품_미용","pc","2017","12"
"385","2018-01-01",58.45834,"f","가구_인테리어","mobile","2018","1"
"386","2018-01-01",18.29394,"m","가구_인테리어","mobile","2018","1"
"387","2018-02-01",51.796,"f","가구_인테리어","mobile","2018","2"
"388","2018-02-01",16.94358,"m","가구_인테리어","mobile","2018","2"
"389","2018-03-01",58.90514,"f","가구_인테리어","mobile","2018","3"
"390","2018-03-01",20.08827,"m","가구_인테리어","mobile","2018","3"
"391","2018-04-01",50.21364,"f","가구_인테리어","mobile","2018","4"
"392","2018-04-01",17.1889,"m","가구_인테리어","mobile","2018","4"
"393","2018-05-01",49.62684,"f","가구_인테리어","mobile","2018","5"
"394","2018-05-01",17.15186,"m","가구_인테리어","mobile","2018","5"
"395","2018-06-01",48.5269,"f","가구_인테리어","mobile","2018","6"
"396","2018-06-01",16.25999,"m","가구_인테리어","mobile","2018","6"
"397","2018-07-01",47.85509,"f","가구_인테리어","mobile","2018","7"
"398","2018-07-01",17.13007,"m","가구_인테리어","mobile","2018","7"
"399","2018-08-01",49.26356,"f","가구_인테리어","mobile","2018","8"
"400","2018-08-01",17.38126,"m","가구_인테리어","mobile","2018","8"
"401","2018-09-01",49.28722,"f","가구_인테리어","mobile","2018","9"
"402","2018-09-01",17.14573,"m","가구_인테리어","mobile","2018","9"
"403","2018-10-01",57.33334,"f","가구_인테리어","mobile","2018","10"
"404","2018-10-01",19.74903,"m","가구_인테리어","mobile","2018","10"
