"","period","선호_성별_검색추이","성별","카테고리명","검색기기","년도","월"
"260","2018-05-01",60.21408,"m","디지털_가전","인터넷","2018","5"
"261","2018-05-01",56.93068,"m","생활_건강","모바일","2018","5"
"262","2018-05-01",66.41869,"m","생활_건강","인터넷","2018","5"
"263","2018-05-01",50.99068,"m","스포츠_레져","모바일","2018","5"
"264","2018-05-01",58.90796,"m","스포츠_레져","인터넷","2018","5"
"265","2018-05-01",38.62135,"f","식품","모바일","2018","5"
"266","2018-05-01",47.18844,"m","식품","인터넷","2018","5"
"267","2018-05-01",51.26017,"f","출산_육아","모바일","2018","5"
"268","2018-05-01",60.54232,"f","출산_육아","인터넷","2018","5"
"269","2018-05-01",69.5807,"f","패션잡화","모바일","2018","5"
"270","2018-05-01",78.64151,"m","패션잡화","인터넷","2018","5"
"271","2018-05-01",66.54626,"f","화장품_미용","모바일","2018","5"
"272","2018-05-01",82.13451,"f","화장품_미용","인터넷","2018","5"
"273","2018-06-01",48.5269,"f","가구_인테리어","모바일","2018","6"
"274","2018-06-01",56.7118,"m","가구_인테리어","인터넷","2018","6"
"275","2018-06-01",50.26724,"f","디지털_가전","모바일","2018","6"
"276","2018-06-01",55.56212,"m","디지털_가전","인터넷","2018","6"
"277","2018-06-01",52.9487,"m","생활_건강","모바일","2018","6"
"278","2018-06-01",60.5707,"m","생활_건강","인터넷","2018","6"
"279","2018-06-01",52.34492,"m","스포츠_레져","모바일","2018","6"
"280","2018-06-01",58.68518,"m","스포츠_레져","인터넷","2018","6"
"281","2018-06-01",37.82665,"f","식품","모바일","2018","6"
"282","2018-06-01",44.31263,"m","식품","인터넷","2018","6"
"283","2018-06-01",47.66476,"f","출산_육아","모바일","2018","6"
"284","2018-06-01",55.97424,"f","출산_육아","인터넷","2018","6"
"285","2018-06-01",71.77295,"f","패션잡화","모바일","2018","6"
"286","2018-06-01",77.62963,"m","패션잡화","인터넷","2018","6"
"287","2018-06-01",64.26908,"f","화장품_미용","모바일","2018","6"
"288","2018-06-01",75.73636,"f","화장품_미용","인터넷","2018","6"
"289","2018-07-01",47.85509,"f","가구_인테리어","모바일","2018","7"
"290","2018-07-01",62.1458,"m","가구_인테리어","인터넷","2018","7"
"291","2018-07-01",58.38566,"f","디지털_가전","모바일","2018","7"
"292","2018-07-01",65.78841,"m","디지털_가전","인터넷","2018","7"
"293","2018-07-01",55.01456,"m","생활_건강","모바일","2018","7"
"294","2018-07-01",64.32203,"m","생활_건강","인터넷","2018","7"
"295","2018-07-01",55.14277,"m","스포츠_레져","모바일","2018","7"
"296","2018-07-01",64.63347,"m","스포츠_레져","인터넷","2018","7"
"297","2018-07-01",37.53359,"f","식품","모바일","2018","7"
"298","2018-07-01",48.95525,"m","식품","인터넷","2018","7"
"299","2018-07-01",48.34995,"f","출산_육아","모바일","2018","7"
"300","2018-07-01",58.96555,"f","출산_육아","인터넷","2018","7"
"301","2018-07-01",68.59856,"f","패션잡화","모바일","2018","7"
"302","2018-07-01",83.6132,"m","패션잡화","인터넷","2018","7"
"303","2018-07-01",62.75454,"f","화장품_미용","모바일","2018","7"
"304","2018-07-01",78.25631,"f","화장품_미용","인터넷","2018","7"
"305","2018-08-01",49.26356,"f","가구_인테리어","모바일","2018","8"
"306","2018-08-01",62.9881,"m","가구_인테리어","인터넷","2018","8"
"307","2018-08-01",51.99399,"f","디지털_가전","모바일","2018","8"
"308","2018-08-01",65.04738,"m","디지털_가전","인터넷","2018","8"
"309","2018-08-01",56.19172,"m","생활_건강","모바일","2018","8"
"310","2018-08-01",67.20958,"m","생활_건강","인터넷","2018","8"
"311","2018-08-01",49.72971,"m","스포츠_레져","모바일","2018","8"
"312","2018-08-01",59.27474,"m","스포츠_레져","인터넷","2018","8"
"313","2018-08-01",40.68563,"f","식품","모바일","2018","8"
"314","2018-08-01",52.2068,"m","식품","인터넷","2018","8"
"315","2018-08-01",42.86317,"f","출산_육아","모바일","2018","8"
"316","2018-08-01",51.37395,"f","출산_육아","인터넷","2018","8"
"317","2018-08-01",64.30566,"f","패션잡화","모바일","2018","8"
"318","2018-08-01",79.23476,"m","패션잡화","인터넷","2018","8"
"319","2018-08-01",65.04863,"f","화장품_미용","모바일","2018","8"
"320","2018-08-01",83.27955,"f","화장품_미용","인터넷","2018","8"
"321","2018-09-01",49.28722,"f","가구_인테리어","모바일","2018","9"
"322","2018-09-01",56.93063,"m","가구_인테리어","인터넷","2018","9"
"323","2018-09-01",45.69808,"f","디지털_가전","모바일","2018","9"
"324","2018-09-01",67.31775,"m","디지털_가전","인터넷","2018","9"
"325","2018-09-01",51.11635,"m","생활_건강","모바일","2018","9"
"326","2018-09-01",56.90078,"m","생활_건강","인터넷","2018","9"
"327","2018-09-01",49.66637,"m","스포츠_레져","모바일","2018","9"
"328","2018-09-01",53.88599,"m","스포츠_레져","인터넷","2018","9"
"329","2018-09-01",42.6686,"f","식품","모바일","2018","9"
"330","2018-09-01",53.40595,"m","식품","인터넷","2018","9"
"331","2018-09-01",42.52434,"f","출산_육아","모바일","2018","9"
"332","2018-09-01",47.39745,"f","출산_육아","인터넷","2018","9"
"333","2018-09-01",65.34166,"f","패션잡화","모바일","2018","9"
"334","2018-09-01",72.20796,"m","패션잡화","인터넷","2018","9"
"335","2018-09-01",62.08447,"f","화장품_미용","모바일","2018","9"
"336","2018-09-01",73.8514,"f","화장품_미용","인터넷","2018","9"
"337","2018-10-01",57.33334,"f","가구_인테리어","모바일","2018","10"
"338","2018-10-01",75.62769,"m","가구_인테리어","인터넷","2018","10"
"339","2018-10-01",51.7312,"f","디지털_가전","모바일","2018","10"
"340","2018-10-01",86.67809,"m","디지털_가전","인터넷","2018","10"
"341","2018-10-01",53.43381,"m","생활_건강","모바일","2018","10"
"342","2018-10-01",67.4255,"m","생활_건강","인터넷","2018","10"
"343","2018-10-01",60.76749,"m","스포츠_레져","모바일","2018","10"
"344","2018-10-01",70.37117,"m","스포츠_레져","인터넷","2018","10"
"345","2018-10-01",40.99985,"f","식품","모바일","2018","10"
"346","2018-10-01",53.65293,"m","식품","인터넷","2018","10"
"347","2018-10-01",47.06666,"f","출산_육아","모바일","2018","10"
"348","2018-10-01",57.24947,"f","출산_육아","인터넷","2018","10"
"349","2018-10-01",67.78913,"f","패션잡화","모바일","2018","10"
"350","2018-10-01",79.68575,"m","패션잡화","인터넷","2018","10"
