"","년도","월","검색기기","카테고리명","기기별_검색추이"
"383","2018","12","모바일","화장품_미용",73.72204
"384","2018","12","인터넷","화장품_미용",10.23526
"385","2019","01","모바일","가구_인테리어",60.48362
"386","2019","01","인터넷","가구_인테리어",11.918375
"387","2019","01","모바일","디지털_가전",64.68483
"388","2019","01","인터넷","디지털_가전",15.73279
"389","2019","01","모바일","생활_건강",50.39211
"390","2019","01","인터넷","생활_건강",8.69065
"391","2019","01","모바일","스포츠_레져",43.01423
"392","2019","01","인터넷","스포츠_레져",5.626205
"393","2019","01","모바일","식품",55.853995
"394","2019","01","인터넷","식품",9.276875
"395","2019","01","모바일","출산_육아",47.9239
"396","2019","01","인터넷","출산_육아",4.79543
"397","2019","01","모바일","패션잡화",66.87817
"398","2019","01","인터넷","패션잡화",7.842435
"399","2019","01","모바일","화장품_미용",79.7113
"400","2019","01","인터넷","화장품_미용",11.4206
"401","2019","02","모바일","가구_인테리어",56.154255
"402","2019","02","인터넷","가구_인테리어",10.909215
"403","2019","02","모바일","디지털_가전",60.156825
"404","2019","02","인터넷","디지털_가전",12.936525
"405","2019","02","모바일","생활_건강",47.15944
"406","2019","02","인터넷","생활_건강",7.36929
"407","2019","02","모바일","스포츠_레져",35.115815
"408","2019","02","인터넷","스포츠_레져",4.58056
"409","2019","02","모바일","식품",45.19704
"410","2019","02","인터넷","식품",6.764585
"411","2019","02","모바일","출산_육아",46.129135
"412","2019","02","인터넷","출산_육아",4.134415
"413","2019","02","모바일","패션잡화",67.2643
"414","2019","02","인터넷","패션잡화",7.372395
"415","2019","02","모바일","화장품_미용",74.036255
"416","2019","02","인터넷","화장품_미용",9.800195
"417","2019","03","모바일","가구_인테리어",58.27194
"418","2019","03","인터넷","가구_인테리어",12.48274
"419","2019","03","모바일","디지털_가전",66.86635
"420","2019","03","인터넷","디지털_가전",14.963395
"421","2019","03","모바일","생활_건강",64.025215
"422","2019","03","인터넷","생활_건강",10.798585
"423","2019","03","모바일","스포츠_레져",42.927015
"424","2019","03","인터넷","스포츠_레져",6.15679
"425","2019","03","모바일","식품",50.47852
"426","2019","03","인터넷","식품",8.769425
"427","2019","03","모바일","출산_육아",59.1689
"428","2019","03","인터넷","출산_육아",5.732085
"429","2019","03","모바일","패션잡화",70.779655
"430","2019","03","인터넷","패션잡화",8.657835
"431","2019","03","모바일","화장품_미용",76.147605
"432","2019","03","인터넷","화장품_미용",11.14085
"433","2019","04","모바일","가구_인테리어",48.631145
"434","2019","04","인터넷","가구_인테리어",10.879565
"435","2019","04","모바일","디지털_가전",52.9848
"436","2019","04","인터넷","디지털_가전",12.519105
"437","2019","04","모바일","생활_건강",48.96464
"438","2019","04","인터넷","생활_건강",8.994085
"439","2019","04","모바일","스포츠_레져",45.450145
"440","2019","04","인터넷","스포츠_레져",6.766755
"441","2019","04","모바일","식품",45.820885
"442","2019","04","인터넷","식품",9.12639
"443","2019","04","모바일","출산_육아",58.426815
"444","2019","04","인터넷","출산_육아",6.505515
"445","2019","04","모바일","패션잡화",66.108535
"446","2019","04","인터넷","패션잡화",8.50287
"447","2019","04","모바일","화장품_미용",69.331745
"448","2019","04","인터넷","화장품_미용",10.58958
"449","2019","05","모바일","가구_인테리어",51.803595
"450","2019","05","인터넷","가구_인테리어",10.72382
"451","2019","05","모바일","디지털_가전",57.988335
"452","2019","05","인터넷","디지털_가전",12.39265
"453","2019","05","모바일","생활_건강",59.73893
"454","2019","05","인터넷","생활_건강",10.53027
"455","2019","05","모바일","스포츠_레져",55.833235
"456","2019","05","인터넷","스포츠_레져",7.925245
"457","2019","05","모바일","식품",49.631675
"458","2019","05","인터넷","식품",8.71072
"459","2019","05","모바일","출산_육아",60.26865
"460","2019","05","인터넷","출산_육아",5.73453
"461","2019","05","모바일","패션잡화",76.42482
"462","2019","05","인터넷","패션잡화",9.439055
"463","2019","05","모바일","화장품_미용",77.13709
"464","2019","05","인터넷","화장품_미용",11.605135
"465","2019","06","모바일","가구_인테리어",54.901415
"466","2019","06","인터넷","가구_인테리어",10.60733
"467","2019","06","모바일","디지털_가전",59.748455
"468","2019","06","인터넷","디지털_가전",12.661775
"469","2019","06","모바일","생활_건강",64.131555
"470","2019","06","인터넷","생활_건강",9.93093
"471","2019","06","모바일","스포츠_레져",61.425215
"472","2019","06","인터넷","스포츠_레져",8.063975
"473","2019","06","모바일","식품",53.7294
"474","2019","06","인터넷","식품",8.373445
"475","2019","06","모바일","출산_육아",55.554
"476","2019","06","인터넷","출산_육아",5.248675
"477","2019","06","모바일","패션잡화",79.1684
"478","2019","06","인터넷","패션잡화",9.157495
"479","2019","06","모바일","화장품_미용",81.230795
"480","2019","06","인터넷","화장품_미용",11.254395
"481","2019","07","모바일","가구_인테리어",59.340965
"482","2019","07","인터넷","가구_인테리어",11.43532
"483","2019","07","모바일","디지털_가전",66.49014
"484","2019","07","인터넷","디지털_가전",13.456825
"485","2019","07","모바일","생활_건강",65.91707
"486","2019","07","인터넷","생활_건강",12.16086
"487","2019","07","모바일","스포츠_레져",73.36516
"488","2019","07","인터넷","스포츠_레져",9.265635
"489","2019","07","모바일","식품",54.35527
"490","2019","07","인터넷","식품",8.997505
"491","2019","07","모바일","출산_육아",59.70441
"492","2019","07","인터넷","출산_육아",5.86001
"493","2019","07","모바일","패션잡화",85.77648
"494","2019","07","인터넷","패션잡화",9.71208
"495","2019","07","모바일","화장품_미용",83.551015
"496","2019","07","인터넷","화장품_미용",12.153155
"497","2019","08","모바일","가구_인테리어",62.97294
"498","2019","08","인터넷","가구_인테리어",10.31539
"499","2019","08","모바일","디지털_가전",68.94858
"500","2019","08","인터넷","디지털_가전",12.470125
"501","2019","08","모바일","생활_건강",66.85219
"502","2019","08","인터넷","생활_건강",11.458295
"503","2019","08","모바일","스포츠_레져",69.31895
"504","2019","08","인터넷","스포츠_레져",7.777405
"505","2019","08","모바일","식품",57.137395
"506","2019","08","인터넷","식품",8.97233
"507","2019","08","모바일","출산_육아",59.384025
"508","2019","08","인터넷","출산_육아",4.97894
"509","2019","08","모바일","패션잡화",83.583455
"510","2019","08","인터넷","패션잡화",8.25279
"511","2019","08","모바일","화장품_미용",83.969065
"512","2019","08","인터넷","화장품_미용",11.21506
"513","2019","09","모바일","가구_인테리어",64.276135
"514","2019","09","인터넷","가구_인테리어",10.249525
"515","2019","09","모바일","디지털_가전",68.010885
"516","2019","09","인터넷","디지털_가전",11.90442
"517","2019","09","모바일","생활_건강",62.986
"518","2019","09","인터넷","생활_건강",11.269665
"519","2019","09","모바일","스포츠_레져",64.92314
"520","2019","09","인터넷","스포츠_레져",7.359725
"521","2019","09","모바일","식품",61.006365
"522","2019","09","인터넷","식품",8.80782
"523","2019","09","모바일","출산_육아",66.40672
"524","2019","09","인터넷","출산_육아",5.172465
"525","2019","09","모바일","패션잡화",86.24061
"526","2019","09","인터넷","패션잡화",8.18515
"527","2019","09","모바일","화장품_미용",80.39485
"528","2019","09","인터넷","화장품_미용",10.40447
"529","2019","10","모바일","가구_인테리어",68.216975
"530","2019","10","인터넷","가구_인테리어",11.54594
"531","2019","10","모바일","디지털_가전",67.524485
"532","2019","10","인터넷","디지털_가전",12.69285
"533","2019","10","모바일","생활_건강",65.12629
"534","2019","10","인터넷","생활_건강",11.903345
"535","2019","10","모바일","스포츠_레져",73.969945
"536","2019","10","인터넷","스포츠_레져",8.601155
"537","2019","10","모바일","식품",60.521515
"538","2019","10","인터넷","식품",9.157495
"539","2019","10","모바일","출산_육아",72.279035
"540","2019","10","인터넷","출산_육아",5.81054
"541","2019","10","모바일","패션잡화",84.47349
"542","2019","10","인터넷","패션잡화",8.51378
"543","2019","10","모바일","화장품_미용",85.123115
"544","2019","10","인터넷","화장품_미용",11.57323
"545","2019","11","모바일","가구_인테리어",67.653295
"546","2019","11","인터넷","가구_인테리어",11.496895
"547","2019","11","모바일","디지털_가전",70.01331
"548","2019","11","인터넷","디지털_가전",12.998315
"549","2019","11","모바일","생활_건강",63.913635
"550","2019","11","인터넷","생활_건강",11.346725
"551","2019","11","모바일","스포츠_레져",76.877075
"552","2019","11","인터넷","스포츠_레져",8.2675
"553","2019","11","모바일","식품",60.658055
"554","2019","11","인터넷","식품",9.12392
"555","2019","11","모바일","출산_육아",77.782675
"556","2019","11","인터넷","출산_육아",6.033275
"557","2019","11","모바일","패션잡화",84.26072
"558","2019","11","인터넷","패션잡화",8.663815
"559","2019","11","모바일","화장품_미용",86.39911
"560","2019","11","인터넷","화장품_미용",11.98113
"561","2019","12","모바일","가구_인테리어",67.639335
"562","2019","12","인터넷","가구_인테리어",11.014125
"563","2019","12","모바일","디지털_가전",68.815805
"564","2019","12","인터넷","디지털_가전",12.32337
"565","2019","12","모바일","생활_건강",64.853455
"566","2019","12","인터넷","생활_건강",10.67975
"567","2019","12","모바일","스포츠_레져",63.455495
"568","2019","12","인터넷","스포츠_레져",6.6644
"569","2019","12","모바일","식품",61.234895
"570","2019","12","인터넷","식품",8.74366
"571","2019","12","모바일","출산_육아",87.76678
"572","2019","12","인터넷","출산_육아",6.68615
"573","2019","12","모바일","패션잡화",87.218775
"574","2019","12","인터넷","패션잡화",8.340605
"575","2019","12","모바일","화장품_미용",91.22924
"576","2019","12","인터넷","화장품_미용",11.31429
"577","2020","01","모바일","가구_인테리어",64.906805
"578","2020","01","인터넷","가구_인테리어",10.188285
"579","2020","01","모바일","디지털_가전",70.190245
"580","2020","01","인터넷","디지털_가전",12.03064
"581","2020","01","모바일","생활_건강",61.719415
